label,x,y,plot_type,plot_num
FLKeys,26003.88212228519,59889.015339895035,path,0
FLKeys,28824.455896175812,59889.015339895035,path,0
FLKeys,31950.97000530363,96085.64628321276,path,0
FLKeys,35416.6090058009,96085.64628321276,path,0
FLKeys,39258.15689669411,84798.32867440207,path,0
FLKeys,43516.38754215625,84798.32867440207,path,0
FLKeys,48236.49744184995,43149.716800042486,path,0
FLKeys,53468.585442749856,24800.11562193569,path,0
FLKeys,59268.18448406396,24800.11562193569,path,0
FLKeys,65696.85101915026,30630.48018699723,path,0
FLKeys,72822.81837050241,44047.30103166769,path,0
FLKeys,80721.72095245999,51575.434264716794,path,0
FLKeys,89477.39704848053,51575.434264716794,path,0
FLKeys,99182.77866358391,50697.81149529335,path,0
FLKeys,109940.87789678866,45995.5995425515,path,0
FLKeys,121865.88030281181,45995.5995425515,path,0
FLKeys,135084.35684788245,45344.43682530922,path,0
FLKeys,149736.607323264,45344.43682530922,path,0
FLKeys,165978.14947536486,48418.97633453258,path,0
FLKeys,183981.36965793563,48418.97633453258,path,0
FLKeys,203937.35252623688,53087.55764576196,path,0
FLKeys,226057.9091933981,53087.55764576196,path,0
FLKeys,250577.82537564466,55483.09680614338,path,0
FLKeys,277757.35338801733,55483.09680614338,path,0
FLKeys,307884.97444041824,56906.666253837044,path,0
FLKeys,341280.4605527554,56906.666253837044,path,0
FLKeys,378298.2685880977,66800.81964210939,path,0
FLKeys,419331.3024278177,66800.81964210939,path,0
FLKeys,464815.0832201359,75405.11683968588,path,0
FLKeys,515232.37196472514,78511.41048324501,path,0
FLKeys,571118.2934971002,78511.41048324501,path,0
FLKeys,633066.0162583325,78511.41048324501,path,0
FLKeys,701733.0481346778,97375.14020693816,path,0
FLKeys,777848.2151906289,97375.14020693816,path,0
FLKeys,862219.3973670811,126043.76256769225,path,0
FLKeys,955742.1032506459,126043.76256769225,path,0
FLKeys,1059408.9749259946,126043.76256769225,path,0
FLKeys,1174320.3237949333,227337.5275054395,path,0
FLKeys,1301695.809188483,227337.5275054395,path,0
FLKeys,1442887.383727805,227337.5275054395,path,0
FLKeys,1599393.6428348836,140103.29679932748,path,0
FLKeys,1772875.7306975021,140103.29679932748,path,0
FLKeys,1965174.971513054,140103.29679932748,path,0
FLKeys,2178332.413147729,140103.29679932748,path,0
FLKeys,2414610.4906458184,140103.29679932748,path,0
FLKeys,2676517.0395237706,343807.9840168978,path,0
FLKeys,0.0,439284.9271695805,path,1
FLKeys,100.0,439284.9271695805,path,1
FLKeys,110.85250981915654,439284.9271695805,path,1
FLKeys,122.88278933206195,439284.9271695805,path,1
FLKeys,136.21865611037742,449772.65941175766,path,1
FLKeys,151.0017991402792,449772.65941175766,path,1
FLKeys,167.38928421908102,459033.60980405885,path,1
FLKeys,185.55522272517263,459033.60980405885,path,1
FLKeys,205.69262149137975,463976.4556169096,path,1
FLKeys,228.01543343601222,463976.4556169096,path,1
FLKeys,252.76083073884777,463099.1364869941,path,1
FLKeys,280.1917247137626,463099.1364869941,path,1
FLKeys,310.5995591507877,458306.4427009667,path,1
FLKeys,344.30740680588383,458306.4427009667,path,1
FLKeys,381.6734019375756,453184.3132645376,path,1
FLKeys,423.0945453599598,453184.3132645376,path,1
FLKeys,469.01092243946505,453184.3132645376,path,1
FLKeys,519.9103788501246,449563.5279913889,path,1
FLKeys,576.3337037656482,449563.5279913889,path,1
FLKeys,638.8803755579238,446075.5710007101,path,1
FLKeys,708.2149310480115,446075.5710007101,path,1
FLKeys,785.0740259807297,440780.4691790772,path,1
FLKeys,870.2742617379358,440780.4691790772,path,1
FLKeys,964.7208614466364,433372.5857082353,path,1
FLKeys,1069.4172876625844,433372.5857082353,path,1
FLKeys,1185.4759038139234,424749.3537362341,path,1
FLKeys,1314.129792679065,424749.3537362341,path,1
FLKeys,1456.7458574660218,415739.31075369986,path,1
FLKeys,1614.8393446876778,415739.31075369986,path,1
FLKeys,1790.0899431335101,415739.31075369986,path,1
FLKeys,1984.359629983808,406790.20057390805,path,1
FLKeys,2199.712453675179,406790.20057390805,path,1
FLKeys,2438.4364637034864,395375.6432310531,path,1
FLKeys,2703.068020360801,395375.6432310531,path,1
FLKeys,2996.4187426889366,376409.17209998326,path,1
FLKeys,3321.6053809623004,376409.17209998326,path,1
FLKeys,3682.082931084866,343106.50209563883,path,1
